0
//Index   ItemIndex   RankNumber   RankOption   RankOptionRate   Name                                 Value0   Value1   Value2   Value3   Value4   Value5   Value6   Value7   Value8   Value9   Value10
150       6395        1            1            10000            "Mul Elemental D. S. Rate"           5        6        7        8        9        10       12       14       16       18       20
160       6395        2            1            2000             "Mul Elemental Defense Vs Fire"      5        6        7        8        9        10       12       14       16       18       20
161       6395        2            2            2000             "Mul Elemental Defense Vs Water"     5        6        7        8        9        10       12       14       16       18       20
162       6395        2            3            2000             "Mul Elemental Defense Vs Earth"     5        6        7        8        9        10       12       14       16       18       20
163       6395        2            4            2000             "Mul Elemental Defense Vs Wind"      5        6        7        8        9        10       12       14       16       18       20
164       6395        2            5            2000             "Mul Elemental Defense Vs Dark"      5        6        7        8        9        10       12       14       16       18       20
170       6395        3            1            5000             "Add Elemental Defense PvP"          10       13       17       22       28       35       43       52       62       73       85
171       6395        3            2            5000             "Add Elemental Defense PvM"          10       13       17       22       28       35       43       52       62       73       85
180       6395        4            1            5000             "Add Elemental Defense Range"        10       13       17       22       28       35       43       52       62       73       85
181       6395        4            2            5000             "Add Elemental Defense Melee"        10       13       17       22       28       35       43       52       62       73       85
190       6395        5            1            5000             "Add Elemental D. R. PvP"            5        7        9        11       13       15       18       21       24       27       30
191       6395        5            2            5000             "Add Elemental D. R. PvM"            5        7        9        11       13       15       18       21       24       27       30
200       6405        1            1            10000            "Add Elemental Slow Rate"            1        2        3        4        5        6        7        8        10       12       15
210       6405        2            1            2500             "Add Strength"                       10       15       20       25       30       35       40       45       50       55       60
211       6405        2            2            2500             "Add Dexterity"                      10       15       20       25       30       35       40       45       50       55       60
212       6405        2            3            2500             "Add Energy"                         10       15       20       25       30       35       40       45       50       55       60
213       6405        2            4            2500             "Add Vitality"                       10       15       20       25       30       35       40       45       50       55       60
220       6405        3            1            2500             "Add Max HP"                         20       25       30       35       40       50       60       70       80       90       100
221       6405        3            2            2500             "Add Max MP"                         20       25       30       35       40       50       60       70       80       90       100
222       6405        3            3            2500             "Add Max BP"                         20       25       30       35       40       50       60       70       80       90       100
223       6405        3            4            2500             "Add Max SD"                         500      550      600      650      700      750      800      850      900      950      1000
230       6405        4            1            5000             "Add Elemental E. D. Rate PvP"       5        6        7        8        9        10       12       14       16       18       20
231       6405        4            2            5000             "Add Elemental E. D. Rate PvM"       5        6        7        8        9        10       12       14       16       18       20
240       6405        5            1            10000            "Add Elemental Debuff Rate"          1        2        3        4        5        6        7        8        10       12       15
end
