//====================================================
//
//                 ALLAN JPA ~~ SEASON 14 FULL
//                    SENIOR PROFISSIONAL
// [ WHATSAPP ]     
// [ NUMBER   ]     *22 999518600
// [ URL      ] www.AprendizMuOnline.com.br   
//
//       
//
//=====================================================
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Box of Kundun 5"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
//Mu Chila +5: joias/tickets originais repetidos 5x (~1/3 das aberturas) + equipamento sem o top 4 de cada classe
7           33     2          6          0       1      1        0
8           33     2          6          0       1      1        0
9           33     2          6          0       1      1        0
10          33     2          6          0       1      1        0
11          33     2          6          0       1      1        0
2           18     2          6          1       1      1        0
2           12     2          6          1       1      1        0
//SU: sets Succubus, Storm Blitz | armas Raven Stick, Demonic Stick
7           53     2          6          0       1      1        0
8           53     2          6          0       1      1        0
9           53     2          6          0       1      1        0
10          53     2          6          0       1      1        0
11          53     2          6          0       1      1        0
7           43     2          6          0       1      1        0
8           43     2          6          0       1      1        0
9           43     2          6          0       1      1        0
10          43     2          6          0       1      1        0
11          43     2          6          0       1      1        0
5           34     2          6          0       1      1        0
5           18     2          6          0       1      1        0
//RF: sets Crimson Skull, Phoenix Soul | armas Piercing Blade Glove, Holy Storm Claws
7           147    2          6          0       1      1        0
8           147    2          6          0       1      1        0
9           147    2          6          0       1      1        0
11          147    2          6          0       1      1        0
7           73     2          6          0       1      1        0
8           73     2          6          0       1      1        0
9           73     2          6          0       1      1        0
11          73     2          6          0       1      1        0
0           34     2          6          1       1      1        0
0           33     2          6          1       1      1        0
//GL: sets Constant, Grace | armas Vis Lance, Pluma Lance
7           149    2          6          0       1      1        0
8           149    2          6          0       1      1        0
9           149    2          6          0       1      1        0
10          149    2          6          0       1      1        0
11          149    2          6          0       1      1        0
7           148    2          6          0       1      1        0
8           148    2          6          0       1      1        0
9           148    2          6          0       1      1        0
10          148    2          6          0       1      1        0
11          148    2          6          0       1      1        0
3           16     2          6          1       1      1        0
3           15     2          6          1       1      1        0
//RW: sets Divine Rune, Kenaz | armas Frost Rune Mace, El Haz Rune Mace
7           120    2          6          0       1      1        0
8           120    2          6          0       1      1        0
9           120    2          6          0       1      1        0
10          120    2          6          0       1      1        0
11          120    2          6          0       1      1        0
7           119    2          6          0       1      1        0
8           119    2          6          0       1      1        0
9           119    2          6          0       1      1        0
10          119    2          6          0       1      1        0
11          119    2          6          0       1      1        0
2           30     2          6          0       1      1        0
2           29     2          6          0       1      1        0
end
